City_id,CityName,STATE_ABR,State_NM
1,"Peach Springs, AZ",AZ,Arizona
2,"Pogo Mines, AK",AK,Alaska
3,"Apalachicola, FL",FL,Florida
4,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania
5,"Abilene, TX",TX,Texas
6,"Ambler, AK",AK,Alaska
7,"Albuquerque, NM",NM,"New Mexico"
8,"Aberdeen, SD",SD,"South Dakota"
9,"Albany, GA",GA,Georgia
10,"Nantucket, MA",MA,Massachusetts
11,"Waco, TX",TX,Texas
12,"Arcata/Eureka, CA",CA,California
13,"Atlantic City, NJ",NJ,"New Jersey"
14,"Adak Island, AK",AK,Alaska
15,"Kodiak, AK",AK,Alaska
16,"Dallas, TX",TX,Texas
17,"Allakaket, AK",AK,Alaska
18,"Alexandria, LA",LA,Louisiana
19,"Dallas/Fort Worth, TX",TX,Texas
20,"Angoon, AK",AK,Alaska
21,"Augusta, GA",GA,Georgia
22,"Athens, GA",GA,Georgia
23,"Alliance, NE",NE,Nebraska
24,"Wainwright, AK",AK,Alaska
25,"Atka, AK",AK,Alaska
26,"Akiak, AK",AK,Alaska
27,"King Salmon, AK",AK,Alaska
28,"Anaktuvuk Pass, AK",AK,Alaska
29,"Albany, NY",NY,"New York"
30,"Waterloo, IA",IA,Iowa
31,"Alamosa, CO",CO,Colorado
32,"Walla Walla, WA",WA,Washington
33,"Amarillo, TX",TX,Texas
34,"Anchorage, AK",AK,Alaska
35,"Aniak, AK",AK,Alaska
36,"Anvik, AK",AK,Alaska
37,"Altoona, PA",PA,Pennsylvania
38,"Denver, CO",CO,Colorado
39,"Napa, CA",CA,California
40,"Naples, FL",FL,Florida
41,"Alpena, MI",MI,Michigan
42,"Arctic Village, AK",AK,Alaska
43,"Watertown, NY",NY,"New York"
44,"Aspen, CO",CO,Colorado
45,"Atqasuk, AK",AK,Alaska
46,"Atlanta, GA",GA,Georgia
47,"Atmautluak, AK",AK,Alaska
48,"Appleton, WI",WI,Wisconsin
49,"Watertown, SD",SD,"South Dakota"
50,"Augusta/Waterville, ME",ME,Maine
51,"Alakanuk, AK",AK,Alaska
