FLIGHT_ID,AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DISTANCE,DISTANCE_GROUP,YEAR,QUARTER,MONTH,CLASS
1,20378,12191,12266,24,1,2025,1,1,F
2,20378,11292,12094,141,1,2025,1,1,F
3,20378,11292,12012,152,1,2025,1,1,F
4,20378,13851,12278,156,1,2025,1,1,F
5,20378,11140,10423,167,1,2025,1,1,F
6,20007,10821,10821,0,1,2025,1,1,L
7,20007,11375,11375,0,1,2025,1,1,P
8,20007,11433,11433,0,1,2025,1,1,L
9,20007,12892,12892,0,1,2025,1,1,P
10,20007,13360,13360,0,1,2025,1,1,P
11,20330,10299,10299,0,1,2025,1,1,G
12,20201,11540,11540,0,1,2025,1,1,P
13,21894,10140,10140,0,1,2025,1,1,F
14,20445,12266,12266,0,1,2025,1,1,F
15,20445,13029,13029,0,1,2025,1,1,F
16,21820,10304,10304,0,1,2025,1,1,F
17,21820,12807,12807,0,1,2025,1,1,F
18,21635,11697,11697,0,1,2025,1,1,L
19,21635,13182,13182,0,1,2025,1,1,L
20,21635,13898,13898,0,1,2025,1,1,L
21,20100,11193,11193,0,1,2025,1,1,P
22,20377,10194,10194,0,1,2025,1,1,L
23,20377,14747,14747,0,1,2025,1,1,L
24,20207,10529,10529,0,1,2025,1,1,L
25,20405,10615,11540,3,1,2025,1,1,L
26,20272,11762,14477,8,1,2025,1,1,L
27,21652,15167,15346,9,1,2025,1,1,L
28,20272,12652,13002,9,1,2025,1,1,L
29,20272,13002,12652,9,1,2025,1,1,L
30,20452,12478,12953,11,1,2025,1,1,F
31,21635,10693,12574,12,1,2025,1,1,L
32,21635,10693,13461,12,1,2025,1,1,L
33,21635,13461,10693,12,1,2025,1,1,L
34,21652,13898,11697,14,1,2025,1,1,L
35,21820,13710,13894,14,1,2025,1,1,F
36,21635,13898,11697,14,1,2025,1,1,L
37,21652,12892,12954,17,1,2025,1,1,L
38,19977,12892,10800,18,1,2025,1,1,F
39,22085,11697,13303,21,1,2025,1,1,L
40,22085,13303,11697,21,1,2025,1,1,L
41,21820,10551,13770,22,1,2025,1,1,L
42,21820,13770,10551,22,1,2025,1,1,L
43,21652,12197,15167,24,1,2025,1,1,L
44,21652,13232,14320,24,1,2025,1,1,L
45,21652,14320,13232,24,1,2025,1,1,L
46,21652,15167,12197,24,1,2025,1,1,L
47,22085,14761,13204,24,1,2025,1,1,L
48,21820,10551,12831,24,1,2025,1,1,L
49,21635,12197,15167,24,1,2025,1,1,L
50,21635,12574,13461,24,1,2025,1,1,L
51,20452,12264,11278,24,1,2025,1,1,F
52,21820,13710,15887,25,1,2025,1,1,F
53,20272,10559,14004,26,1,2025,1,1,F
54,20272,10559,14004,26,1,2025,1,1,L
55,20272,14004,10559,26,1,2025,1,1,F
56,20272,14004,10559,26,1,2025,1,1,L
57,21635,11764,12197,28,1,2025,1,1,L
58,21652,14831,13796,29,1,2025,1,1,L
59,21820,15798,10241,29,1,2025,1,1,F
60,19977,14831,14771,30,1,2025,1,1,F
61,20452,10821,11278,30,1,2025,1,1,F
62,20207,12882,15304,31,1,2025,1,1,L
63,20207,15304,12882,31,1,2025,1,1,L
64,21820,11492,15798,33,1,2025,1,1,F
65,21652,13034,13830,35,1,2025,1,1,L
66,20445,12206,13256,36,1,2025,1,1,F
67,19977,12892,14908,36,1,2025,1,1,F
68,19977,14908,12892,36,1,2025,1,1,F
69,20272,12652,15220,37,1,2025,1,1,L
70,20272,15220,12652,37,1,2025,1,1,L
71,21820,14130,15257,39,1,2025,1,1,F
72,19977,15304,14986,40,1,2025,1,1,F
73,21635,11697,14027,42,1,2025,1,1,L
74,21635,14027,11697,42,1,2025,1,1,L
75,21652,13232,15447,44,1,2025,1,1,L
76,21652,15447,13232,44,1,2025,1,1,L
77,21820,12807,13369,44,1,2025,1,1,F
78,20253,10721,14306,45,1,2025,1,1,F
79,20253,14306,10721,45,1,2025,1,1,F
80,20207,12197,12244,45,1,2025,1,1,L
81,20207,12244,12197,45,1,2025,1,1,L
82,19977,13891,12892,47,1,2025,1,1,F
83,20207,10529,12244,48,1,2025,1,1,L
84,20207,12244,10529,48,1,2025,1,1,L
85,21820,14627,15257,49,1,2025,1,1,F
86,20452,10721,14307,49,1,2025,1,1,F
87,20272,14004,13055,50,1,2025,1,1,L
88,21820,14718,15085,52,1,2025,1,1,F
89,21673,15160,13676,53,1,2025,1,1,F
90,20272,11762,14004,55,1,2025,1,1,L
91,20272,14004,11762,55,1,2025,1,1,L
92,20452,14576,10792,55,1,2025,1,1,F
93,21652,10519,15030,56,1,2025,1,1,L
94,20267,10661,10011,59,1,2025,1,1,F
95,22085,13851,15074,60,1,2025,1,1,L
96,21820,14627,12709,60,1,2025,1,1,F
97,21652,14027,13303,62,1,2025,1,1,L
98,20272,11588,14004,62,1,2025,1,1,L
99,20272,14004,11588,62,1,2025,1,1,L
100,20007,13930,14512,63,1,2025,1,1,P
101,19977,14512,13930,63,1,2025,1,1,F
102,20201,12884,16091,65,1,2025,1,1,L
103,20046,16091,12884,65,1,2025,1,1,L
104,19977,10423,14683,66,1,2025,1,1,F
105,22085,14307,10529,67,1,2025,1,1,L
106,19977,10135,11618,67,1,2025,1,1,F
107,21652,15167,12244,68,1,2025,1,1,L
108,21820,12709,13369,68,1,2025,1,1,F
109,21820,12769,12807,68,1,2025,1,1,L
110,21820,14880,10996,68,1,2025,1,1,F
111,20195,12892,14691,68,1,2025,1,1,P
112,20452,12945,11193,70,1,2025,1,1,F
113,20046,11066,11267,71,1,2025,1,1,L
114,20046,11267,11066,71,1,2025,1,1,L
115,21820,14493,10304,74,1,2025,1,1,F
116,19977,10732,14843,74,1,2025,1,1,F
117,20046,13342,13485,74,1,2025,1,1,L
118,20046,13485,13342,74,1,2025,1,1,L
119,21635,11057,12348,75,1,2025,1,1,L
120,21635,12348,11057,75,1,2025,1,1,L
121,19977,11996,11057,75,1,2025,1,1,F
122,20452,14524,13931,75,1,2025,1,1,F
123,21820,11952,11492,78,1,2025,1,1,F
124,21820,11227,12831,79,1,2025,1,1,F
125,21820,14880,10304,79,1,2025,1,1,F
126,22085,10529,12197,80,1,2025,1,1,L
127,19977,14100,11618,80,1,2025,1,1,F
128,20207,10257,10529,80,1,2025,1,1,L
129,20207,12197,10529,80,1,2025,1,1,L
130,20046,13232,13342,80,1,2025,1,1,L
131,20046,13342,13232,80,1,2025,1,1,L
132,22105,15554,12807,84,1,2025,1,1,L
133,21820,10304,13369,84,1,2025,1,1,F
134,19977,14262,14679,85,1,2025,1,1,F
135,21652,10800,14689,86,1,2025,1,1,L
136,21477,14738,10917,87,1,2025,1,1,F
137,20452,10990,11278,91,1,2025,1,1,F
138,21820,12676,10304,92,1,2025,1,1,F
139,20452,14100,12478,94,1,2025,1,1,F
140,19977,11648,13486,97,1,2025,1,1,F
141,20046,15370,11834,97,1,2025,1,1,L
142,21635,11123,10967,98,1,2025,1,1,L
143,21635,13983,14006,100,1,2025,1,1,L
144,19977,13830,12173,100,1,2025,1,1,F
145,19977,14524,12264,100,1,2025,1,1,F
146,20207,11252,12882,101,1,2025,1,1,L
147,20207,12882,11252,101,1,2025,1,1,L
148,21652,12173,12982,102,1,2025,1,1,L
149,21820,15798,10304,102,1,2025,1,1,F
150,20207,13139,14492,102,1,2025,1,1,L
151,20207,14492,13139,102,1,2025,1,1,L
152,21820,15257,12807,103,1,2025,1,1,F
153,21635,10434,14100,104,1,2025,1,1,F
154,19977,14635,11697,105,1,2025,1,1,F
155,21635,13501,11697,108,1,2025,1,1,L
156,19977,15304,14635,110,1,2025,1,1,F
157,20452,14730,12339,111,1,2025,1,1,F
158,20452,15370,13851,111,1,2025,1,1,F
159,20207,12544,14492,113,1,2025,1,1,L
160,20342,15236,11463,114,1,2025,1,1,L
161,19977,10529,11618,116,1,2025,1,1,F
162,19977,14057,14489,116,1,2025,1,1,F
163,20207,12882,11953,118,1,2025,1,1,L
164,19977,11292,11503,120,1,2025,1,1,F
165,20452,10257,15096,120,1,2025,1,1,F
166,21652,12402,13830,121,1,2025,1,1,L
167,20207,11252,15304,122,1,2025,1,1,L
168,20272,16101,14004,123,1,2025,1,1,L
169,21635,14122,10557,123,1,2025,1,1,L
170,21652,10372,11292,125,1,2025,1,1,L
171,20445,14685,10868,125,1,2025,1,1,F
172,21635,13983,13461,125,1,2025,1,1,L
173,20452,11977,15380,127,1,2025,1,1,F
174,21820,12831,12195,129,1,2025,1,1,F
175,19977,14955,12016,129,1,2025,1,1,F
176,20046,11267,12945,130,1,2025,1,1,L
177,20046,12945,11267,130,1,2025,1,1,L
178,20452,15096,10792,133,1,2025,1,1,F
179,20046,10792,15096,133,1,2025,1,1,L
180,19977,14100,12264,135,1,2025,1,1,F
181,20452,12953,10257,136,1,2025,1,1,F
182,21635,10967,13983,137,1,2025,1,1,L
183,21635,13983,10967,137,1,2025,1,1,L
184,20445,10257,10434,139,1,2025,1,1,F
185,20445,10434,10257,139,1,2025,1,1,F
186,21652,10423,12266,140,1,2025,1,1,L
187,21652,12266,10423,140,1,2025,1,1,L
188,19977,10423,12266,140,1,2025,1,1,F
189,19977,13230,11618,141,1,2025,1,1,F
190,20207,14027,13204,141,1,2025,1,1,L
191,20046,11267,14730,144,1,2025,1,1,L
192,20046,14730,11267,144,1,2025,1,1,L
193,21635,13461,14006,145,1,2025,1,1,L
194,21635,14006,13461,145,1,2025,1,1,L
195,20445,13422,12448,155,1,2025,1,1,F
196,21635,11057,14574,155,1,2025,1,1,L
197,20445,14576,14711,157,1,2025,1,1,F
198,22085,12197,10540,158,1,2025,1,1,L
199,22085,10849,13486,161,1,2025,1,1,L
200,22085,13232,12339,162,1,2025,1,1,L
201,20253,12197,13541,163,1,2025,1,1,F
202,20253,13541,12197,163,1,2025,1,1,F
203,19977,11049,11298,164,1,2025,1,1,F
204,20046,11267,16091,165,1,2025,1,1,L
205,20046,16091,11267,165,1,2025,1,1,L
206,20272,12136,14004,166,1,2025,1,1,L
207,20272,14004,12136,166,1,2025,1,1,L
208,20046,11267,14696,166,1,2025,1,1,L
209,20046,12884,13342,169,1,2025,1,1,L
210,21635,10508,14524,171,1,2025,1,1,L
211,19977,12889,14262,173,1,2025,1,1,F
212,19977,14262,12889,173,1,2025,1,1,F
213,19977,15304,14027,174,1,2025,1,1,F
214,20207,12882,12451,174,1,2025,1,1,L
215,21635,13461,15374,175,1,2025,1,1,L
216,21635,15374,13461,175,1,2025,1,1,L
217,19977,13851,11298,175,1,2025,1,1,F
218,20207,11697,12882,175,1,2025,1,1,L
219,20207,12882,11697,175,1,2025,1,1,L
220,20445,12217,15412,177,1,2025,1,1,F
221,20445,15412,12217,177,1,2025,1,1,F
222,21635,10654,11057,178,1,2025,1,1,L
223,20201,11049,16755,179,1,2025,1,1,L
224,21635,13930,13182,179,1,2025,1,1,L
225,20207,12244,12320,180,1,2025,1,1,L
226,20207,12320,12244,180,1,2025,1,1,L
227,21652,10540,15167,182,1,2025,1,1,L
228,22085,14122,12264,182,1,2025,1,1,L
229,20253,12197,12250,183,1,2025,1,1,F
230,20377,12478,10821,184,1,2025,1,1,L
231,21618,12363,10800,186,1,2025,1,1,F
232,21635,10744,13930,186,1,2025,1,1,L
233,20452,14122,10792,186,1,2025,1,1,F
234,20201,11049,11430,187,1,2025,1,1,L
235,20201,11430,11049,187,1,2025,1,1,L
236,21635,10967,13461,189,1,2025,1,1,L
237,21635,13461,10967,189,1,2025,1,1,L
238,20253,10154,12197,191,1,2025,1,1,F
239,20253,12197,10154,191,1,2025,1,1,F
240,19977,14683,12266,191,1,2025,1,1,F
241,22085,13204,13303,192,1,2025,1,1,L
242,22085,13303,13204,192,1,2025,1,1,L
243,20405,13204,13303,192,1,2025,1,1,L
244,20405,13303,13204,192,1,2025,1,1,L
245,20207,13204,13303,192,1,2025,1,1,L
246,20207,13303,13204,192,1,2025,1,1,L
247,20207,10529,15096,193,1,2025,1,1,L
248,21635,13461,14050,194,1,2025,1,1,L
249,21635,14050,13461,194,1,2025,1,1,L
250,20046,15096,11618,195,1,2025,1,1,L
251,21652,15167,13296,197,1,2025,1,1,L
252,20201,13785,11086,197,1,2025,1,1,P
253,19977,12889,13891,197,1,2025,1,1,F
254,19977,14730,11066,198,1,2025,1,1,F
255,19977,15096,12953,198,1,2025,1,1,F
256,20253,10154,12478,199,1,2025,1,1,F
257,20046,12884,11267,199,1,2025,1,1,L
258,19977,11140,12266,201,1,2025,1,1,F
259,19977,11140,12266,201,1,2025,1,1,F
260,22085,13342,11067,202,1,2025,1,1,L
261,20207,15304,13303,204,1,2025,1,1,L
262,19977,14869,12441,205,1,2025,1,1,F
263,20046,11003,13342,208,1,2025,1,1,L
264,20046,13342,11003,208,1,2025,1,1,L
265,20445,14574,11996,209,1,2025,1,1,F
266,21618,12207,11531,210,1,2025,1,1,F
267,21492,11066,12884,211,1,2025,1,1,L
268,19977,12264,11618,212,1,2025,1,1,F
269,20445,14193,12448,213,1,2025,1,1,F
270,22085,13303,14761,213,1,2025,1,1,L
271,19977,12953,11278,214,1,2025,1,1,F
272,20207,10693,10397,214,1,2025,1,1,L
273,20046,14122,11267,215,1,2025,1,1,L
274,20046,11067,11267,216,1,2025,1,1,L
275,20046,13105,11067,216,1,2025,1,1,L
276,21673,13196,13467,222,1,2025,1,1,L
277,20207,10800,12889,223,1,2025,1,1,L
278,20207,12889,10800,223,1,2025,1,1,L
279,22085,12264,14492,224,1,2025,1,1,L
280,22085,14492,12264,224,1,2025,1,1,L
281,20046,13342,16091,228,1,2025,1,1,L
282,20452,12339,15016,229,1,2025,1,1,F
283,22085,11789,15074,231,1,2025,1,1,L
284,21673,15160,13467,235,1,2025,1,1,F
285,21673,15160,13467,235,1,2025,1,1,P
286,20046,13487,10408,236,1,2025,1,1,L
287,21635,13930,11267,240,1,2025,1,1,L
288,21652,14869,14530,241,1,2025,1,1,L
289,21652,12197,12264,247,1,2025,1,1,L
290,20405,15057,13204,247,1,2025,1,1,L
291,20445,11973,12915,249,1,2025,1,1,F
292,20452,10693,12339,249,1,2025,1,1,F
293,19977,14107,12889,255,1,2025,1,1,F
294,20452,11193,14122,256,1,2025,1,1,F
295,20272,14004,14489,258,1,2025,1,1,L
296,20272,14489,14004,258,1,2025,1,1,L
297,19977,12889,14679,258,1,2025,1,1,F
298,20452,14122,14524,259,1,2025,1,1,F
299,21635,14107,14794,262,1,2025,1,1,L
300,21652,12758,12982,263,1,2025,1,1,L
301,21635,13930,11123,263,1,2025,1,1,L
302,20007,13930,11193,264,1,2025,1,1,P
303,20405,13930,11193,264,1,2025,1,1,L
304,21635,15454,13983,265,1,2025,1,1,L
305,20046,15153,15249,273,1,2025,1,1,L
306,22085,12206,12191,277,1,2025,1,1,L
307,21635,12451,14027,280,1,2025,1,1,L
308,19977,11298,15919,280,1,2025,1,1,F
309,20445,14814,15370,284,1,2025,1,1,F
310,20046,13342,11267,284,1,2025,1,1,L
311,21635,10792,12197,289,1,2025,1,1,L
312,21635,11066,13930,296,1,2025,1,1,L
313,20207,10800,14831,296,1,2025,1,1,L
314,20046,13342,13487,297,1,2025,1,1,L
315,21635,11123,10268,299,1,2025,1,1,L
316,20445,12915,13422,300,1,2025,1,1,F
317,20405,12917,13930,300,1,2025,1,1,L
318,22085,11789,10185,301,1,2025,1,1,L
319,21635,14679,14107,304,1,2025,1,1,L
320,19977,14107,14679,304,1,2025,1,1,F
321,21635,11041,14107,306,1,2025,1,1,L
322,21635,14107,11041,306,1,2025,1,1,L
323,20046,15374,11123,307,1,2025,1,1,L
324,20046,13232,12945,308,1,2025,1,1,L
325,21492,11066,11995,313,1,2025,1,1,L
326,21492,11995,11066,313,1,2025,1,1,L
327,22085,13198,13851,313,1,2025,1,1,L
328,19977,13256,12266,316,1,2025,1,1,F
329,21635,11057,13461,318,1,2025,1,1,L
330,21635,13461,11057,318,1,2025,1,1,L
331,22085,14574,14730,321,1,2025,1,1,L
332,21635,10654,13461,323,1,2025,1,1,L
333,20046,11003,13290,323,1,2025,1,1,L
334,21652,13796,10800,325,1,2025,1,1,L
335,20207,13796,10800,325,1,2025,1,1,L
336,20452,14122,12339,326,1,2025,1,1,F
337,21635,10693,11057,328,1,2025,1,1,L
338,19977,11057,10693,328,1,2025,1,1,F
339,20207,14492,14122,328,1,2025,1,1,L
340,20445,10990,10792,332,1,2025,1,1,F
341,21652,11259,12278,333,1,2025,1,1,L
342,21635,11057,14730,335,1,2025,1,1,L
343,21635,14730,11057,335,1,2025,1,1,L
344,19977,14771,12892,337,1,2025,1,1,F
345,19977,14107,14908,338,1,2025,1,1,F
346,21635,13461,11066,339,1,2025,1,1,L
347,20046,15016,11267,339,1,2025,1,1,L
348,21635,14006,13930,342,1,2025,1,1,L
349,20046,11267,14711,342,1,2025,1,1,L
350,20046,14711,11267,342,1,2025,1,1,L
351,20046,11150,15304,344,1,2025,1,1,L
352,19977,12889,14570,345,1,2025,1,1,F
353,20445,14576,10990,346,1,2025,1,1,F
354,20046,13487,13232,349,1,2025,1,1,L
355,20046,11995,11267,351,1,2025,1,1,L
356,19977,11140,11298,354,1,2025,1,1,F
357,20207,11259,14783,361,1,2025,1,1,L
358,22085,14492,11066,362,1,2025,1,1,L
359,20046,13244,12945,363,1,2025,1,1,L
360,20046,11111,13342,364,1,2025,1,1,L
361,20046,13342,11111,364,1,2025,1,1,L
362,21635,14674,14107,370,1,2025,1,1,L
363,20452,10431,12264,370,1,2025,1,1,F
364,21974,14107,15618,376,1,2025,1,1,L
365,20445,15370,12896,379,1,2025,1,1,F
366,20046,12945,13342,380,1,2025,1,1,L
367,21652,14027,14685,381,1,2025,1,1,L
368,20445,10792,14524,382,1,2025,1,1,F
369,20445,14524,10792,382,1,2025,1,1,F
370,20201,14258,16091,383,1,2025,1,1,P
371,19977,14685,14635,387,1,2025,1,1,F
372,20207,10800,15023,387,1,2025,1,1,L
373,20207,15023,10800,387,1,2025,1,1,L
374,21635,11092,14107,388,1,2025,1,1,L
375,20207,14122,12244,388,1,2025,1,1,L
376,20445,11267,12217,389,1,2025,1,1,F
377,20445,14524,15412,389,1,2025,1,1,F
378,21635,11481,13461,392,1,2025,1,1,L
379,20405,15211,12266,393,1,2025,1,1,L
