ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,ORIGIN_CITY,DEST_CITY,TOTAL_PASSENGERS
10397,13204,"Atlanta, GA","Orlando, FL",181787
11618,14771,"Newark, NJ","San Francisco, CA",181683
13930,11618,"Chicago, IL","Newark, NJ",154756
14771,12892,"San Francisco, CA","Los Angeles, CA",146682
11618,13204,"Newark, NJ","Orlando, FL",143687
12889,12892,"Las Vegas, NV","Los Angeles, CA",126629
11292,12266,"Denver, CO","Houston, TX",126257
14747,10299,"Seattle, WA","Anchorage, AK",124557
12892,14771,"Los Angeles, CA","San Francisco, CA",123769
14771,11618,"San Francisco, CA","Newark, NJ",122246
